date,close,volume,open,high,low
26/09/2017,70.29,7909,71,71,69.96
25/09/2017,70.41,9976,70.706,70.9,70.35
22/09/2017,70.91,8623,70.98,70.98,70.54
21/09/2017,70.72,17785,71,71,70.7
20/09/2017,71.17,35245,71.13,71.52,71.06
19/09/2017,71.25,18517,71.3,72.11,70.85
18/09/2017,71.299,27333,70.8,71.46,70.8
15/09/2017,70.8,51631,70.35,70.8,70.35
14/09/2017,69.97,28074,69,70.0099,69
13/09/2017,70.41,62277,69.79,70.7,69.79
12/09/2017,69.72,37168,69.25,70.15,69.25
11/09/2017,69.05,7312,69.38,69.38,68.8
08/09/2017,68.75,8288,68.74,68.75,68.4
07/09/2017,68.1,16109,67.95,68.13,67.79
06/09/2017,68.39,9040,68.498,68.56,67.82
05/09/2017,67.63,24692,68.41,68.41,67.13
01/09/2017,68.95,12513,68.12,68.95,67.97
31/08/2017,69.24,15299,68.5,69.25,68.5
30/08/2017,67.82,12548,67.63,68.08,67.63
29/08/2017,66.8275,59457,66.16,67.45,66.16
28/08/2017,66.24,5591,65.7001,66.44,65.7001
25/08/2017,66.04,20338,65.7,66.05,65.69
24/08/2017,65.97,8410,65.89,65.98,65.8881
23/08/2017,66.42,12516,66.415,66.47,66.23
22/08/2017,66.15,34780,65.87,66.15,65.87
21/08/2017,65.79,12724,66.27,66.27,65.61
18/08/2017,65.85,70739,65.38,65.92,65.38
17/08/2017,65.61,23250,65.7,66,65.45
16/08/2017,66,12713,66.2,66.2,65.45
15/08/2017,65.75,15716,65.952,65.99,65.1801
14/08/2017,66,23422,64.97,66,64.97
11/08/2017,64.45,18290,65.22,65.74,64.43
10/08/2017,65.89,16118,65.58,66.05,64.5
09/08/2017,65.92,33430,66,66.08,65.66
08/08/2017,66.25,24430,66.94,66.94,66.15
07/08/2017,66.525,13170,66.258,67,66.06
04/08/2017,67.29,18398,67.35,67.35,66.96
03/08/2017,67.5,15112,67.52,67.55,67.44
02/08/2017,67.099,19766,67.35,67.35,66.996
01/08/2017,67.11,11958,67.18,68.35,66.01
31/07/2017,69.09,38306,69,69.1,68.54
28/07/2017,68,19475,65.8,68,65.8
27/07/2017,65.19,119468,65.365,65.6054,65.09
26/07/2017,64.995,116679,64.69,65.0799,64.59
25/07/2017,65.76,289404,65,65.77,65
24/07/2017,66.09,138518,65.78,66.09,65.78
21/07/2017,66.1,420515,66.09,66.15,65.84
20/07/2017,65.91,15521,66.02,66.1,65.51
19/07/2017,64.59,15521,64.45,64.96,64.45
18/07/2017,65.33,11949,65.45,65.45,65.06
17/07/2017,64.22,10044,64.73,64.93,64.045
14/07/2017,64.06,9927,64.546,64.546,63.965
13/07/2017,63.76,35184,63.56,63.76,63.37
12/07/2017,63.45,37514,63.2,63.54,63.06
11/07/2017,62.3,9369,62.22,62.42,62.155
10/07/2017,61.59,8371,61.544,61.6,61.544
07/07/2017,61.88,8240,61.21,61.89,61.21
06/07/2017,61.59,34296,61.7,61.7,61.52
05/07/2017,62.05,11271,61.82,62.06,61.815
03/07/2017,61.71,4530,61.51,61.82,61.51
30/06/2017,61.65,11438,61.6,61.72,61.42
29/06/2017,61.43,15132,61.12,61.47,60.88
28/06/2017,61.15,136224,60.86,61.15,60.67
27/06/2017,61.11,139776,61.2317,61.2725,60.92
26/06/2017,61.4,34828,61.64,62.3,61.4
23/06/2017,60.7,12828,60.595,60.7,60.56
22/06/2017,60.38,13496,60.745,61.18,60.3
21/06/2017,61.07,169674,61.015,61.15,60.85
20/06/2017,60.43,9704,60.68,60.68,60.39
19/06/2017,60.52,24623,60.36,60.69,60.36
16/06/2017,60.32,9231,60,60.32,60
15/06/2017,59.99,13912,59.48,59.99,59.48
14/06/2017,61.16,8472,61.2,61.2,60.88
13/06/2017,61.82,43394,61.53,61.84,61.53
