,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,Prev Close,TR,ATR,RSI,Prediction_ATR,Prediction_RSI
131,2014-12-23,GS,195.33999599999999,196.100006,194.729996,195.5,183.51599099999999,2346100,194.440002,1.660004000000015,3.468935699104755,56.53924141572789,198.02386082106352,204.23546023208
132,2014-12-24,GS,196.610001,196.75,195.009995,195.889999,183.882095,694200,195.5,1.7400049999999965,3.2384116046403992,55.763609058984514,195.76840232733738,204.08546886568985
133,2014-12-26,GS,196.08999599999999,196.490005,195.399994,195.449997,183.469086,1016300,195.889999,1.090011000000004,2.951958189341759,50.0,192.96572874957795,202.9709052575839
134,2014-12-29,GS,195.570007,196.96000700000002,194.820007,196.190002,184.16374199999998,1219900,195.449997,2.140000000000015,2.8436970969884587,49.29945745517946,191.90649717183032,202.8354347184831
135,2014-12-30,GS,195.5,196.5,194.580002,195.71000700000002,183.71312,1136200,196.190002,1.9199979999999925,2.7205372169551323,48.09062721379526,190.70149516042278,202.60167177904074
136,2014-12-31,GS,196.649994,196.830002,193.770004,193.830002,181.94838000000001,1566800,195.71000700000002,3.0599980000000073,2.765798654832954,53.28074984306203,191.14433517997472,203.60533489098802
137,2015-01-02,GS,195.300003,195.729996,192.699997,194.41000400000001,182.492828,1877700,193.830002,3.0299990000000037,2.8010253676153183,51.61531904654313,191.4889949810929,203.28327478270825
138,2015-01-05,GS,193.059998,194.03999299999998,187.479996,188.33999599999999,176.794952,3413200,194.41000400000001,6.930008000000015,3.351556386531996,49.1513250676882,196.87541615134202,202.80678895736537
139,2015-01-06,GS,188.300003,188.66000400000001,183.929993,184.529999,173.21846000000002,3429200,188.33999599999999,4.730011000000019,3.53535033536052,48.24714743243758,198.67366472029954,202.63193957441794
140,2015-01-07,GS,186.850006,187.990005,185.770004,187.279999,175.799911,1896800,184.529999,3.460005999999993,3.525304423961773,56.76781276791028,198.57537505455258,204.2796612367614
141,2015-01-08,GS,189.350006,190.820007,189.25,190.270004,178.606644,1962500,187.279999,3.5400080000000003,3.5272649007698034,58.562094356869515,198.59455645109466,204.62663844171792
142,2015-01-09,GS,190.479996,191.309998,186.96000700000002,187.350006,175.865616,1967900,190.270004,4.349990999999989,3.6369617141427417,42.093554884806096,199.66783519027192,201.44196116982602
143,2015-01-12,GS,187.360001,187.529999,184.110001,185.070007,173.72538799999998,2084200,187.350006,3.4199979999999925,3.6080332188911974,35.09984168430246,199.3847974432745,200.0895206869552
144,2015-01-13,GS,186.580002,189.380005,183.369995,184.929993,173.59393300000002,2739600,185.070007,6.0100100000000225,3.92829679001764,32.076895360867894,202.51827116282917,199.50494495899085
145,2015-01-14,GS,181.179993,182.509995,178.100006,180.229996,169.182053,5204700,184.929993,6.8299869999999885,4.315188818341871,24.693419223437175,206.30364081569093,198.07713232980657
146,2015-01-15,GS,180.229996,181.600006,177.5,178.490005,167.548752,3146000,180.229996,4.100006000000008,4.2864977758753,22.398502437403437,206.0229263178184,197.6333425607282
147,2015-01-16,GS,176.729996,180.100006,174.059998,177.229996,166.365921,5124100,178.490005,6.040008,4.520299139240163,21.83057063190273,208.3104497633451,197.52351621480173
148,2015-01-20,GS,177.570007,178.330002,174.229996,175.630005,164.864059,3606600,177.229996,4.100006000000008,4.464260053977349,19.036159355489403,207.76216073902273,196.98313447084635
149,2015-01-21,GS,174.550003,178.389999,172.820007,177.149994,166.290863,3737000,175.630005,5.569991999999985,4.611690980183911,22.897181235808773,209.2046317983849,197.72977679753166
150,2015-01-22,GS,178.809998,182.58999599999999,177.25,182.03999299999998,170.88108799999998,6228200,177.149994,5.440001999999993,4.7221324495383055,34.17448413891228,210.2851962864214,199.91057554441983
151,2015-01-23,GS,181.429993,182.979996,180.419998,180.490005,169.426132,3093900,182.03999299999998,2.5599980000000073,4.433847856163413,31.789633093785838,207.46460637694312,199.4493943368728
152,2015-01-26,GS,178.720001,180.990005,178.059998,180.419998,169.360428,2736500,180.490005,2.930006999999989,4.23333574194613,37.70949420707346,205.50278649795308,200.59417388288082
